99044122;1004138790001;4763366
99044122;1004138790001;4763366
99044123;1004138790001;29396982
99044123;1004138790001;29396982
99044124;1333810270001;21276840
99044124;1333810270001;21276840
99044125;1333810270001;99037445
99044125;1333810270001;99037445
99044126;1333810270001;99037458
99044126;1333810270001;99037458
99044128;1509775140001;4280418
99044129;1509775140001;29145662
99044130;203180170002;29047656
99044131;203180170002;32417368
99044132;203180170003;29047656
99044133;203180170003;32417368
99044134;2205469630002;17140823
99044135;2205469630002;17145421
99044136;2610760180007;29034311
99044137;2610760180007;29034346
99044138;2706130410001;17108806
99044138;2706130410001;17108806
99044139;2706130410001;17954414
99044139;2706130410001;17954414
99044140;2706202760001;17108806
99044140;2706202760001;17108806
99044141;2706202760001;17954414
99044142;2706202760001;17954414
99044143;2908067030004;2844316
99044144;2908067030004;30651086
99044145;3065620500001;3963854
99044146;3065620500001;7755392
99044147;3065620500002;3963854
99044148;3065620500002;7755392
99044149;3065620500003;3963854
99044150;3065620500003;7755392
99044151;3208347620001;4240910
99044152;3208347620001;8081922
99044153;3807406860001;29139512
99044154;3807406860001;99039515
99044155;3904407550001;4410674
99044155;3904407550001;4410674
99044156;3904407550001;99038431
99044156;3904407550001;99038431
99044157;3907579880001;28260981
99044157;3907579880001;28260981
99044158;3907579880001;99038436
99044158;3907579880001;99038436
99044159;3907582170001;14101439
99044159;3907582170001;14101439
99044160;3907582170001;99038443
99044160;3907582170001;99038443
99044161;3907582430001;28068693
99044161;3907582430001;28068693
99044162;3907582430001;99038444
99044162;3907582430001;99038444
99044163;3907589940001;22841608
99044163;3907589940001;22841608
99044164;3907589940001;99038482
99044164;3907589940001;99038482
99044165;3907593140001;28283039
99044165;3907593140001;28283039
99044166;3907593140001;99038438
99044166;3907593140001;99038438
99044167;3912300300003;4447207
99044168;3912300300003;99038435
99044169;4005656100001;13675069
99044170;4005656100001;99038201
99044171;4005659830001;13634182
99044172;4005659830001;99038203
99044173;4005691110002;14118481
99044174;4005691110002;99038211
99044175;4009647490001;4266286
99044176;4009647490001;23995249
99044177;4009759820001;4837919
99044177;4009759820001;4837919
99044178;4009759820001;11293623
99044179;4009759820001;15138096
99044180;4009759820002;4837919
99044180;4009759820002;4837919
99044181;4009759820002;11293623
99044182;4009759820002;15138096
99044183;5247875650001;4434452
99044184;5247875650001;18968434
99044185;603768490001;4347640
99044186;603768490001;29885385
99044187;603768490002;4347640
99044188;603768490002;29885385
99044189;603768490003;4347640
99044190;603768490003;29885385
99044191;811808950001;4317592
99044191;811808950001;4317592
99044192;811808950001;29483116
99044192;811808950001;29483116
99044193;835358620001;8787961
99044194;835358620001;18026046
